Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,PTS,FG%,Dist.,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,%FGA_16-3P,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P
2014-2015,Marreese Speights\speigma01,C,27,GSW,76,9,15.9,4.2,8.5,0.1,0.2,4.1,8.3,2,2.3,0.843,10.4,0.492,10.6,0.972,0.316,0.141,0.102,0.413,0.028,0.498,0.632,0.418,0.5,0.423,0.278
2014-2015,Tiago Splitter\splitti01,C,30,SAS,52,35,19.8,3.3,5.8,0,0,3.3,5.8,1.7,2.3,0.75,8.2,0.558,2.7,1,0.624,0.356,0.017,0.003,0,0.558,0.598,0.509,0.2,0,0
2014-2015,Nik Stauskas\stausni01,SG,21,SAC,73,1,15.4,1.5,4.1,0.7,2,0.8,2,0.8,0.9,0.859,4.4,0.365,17.1,0.497,0.179,0.084,0.061,0.172,0.503,0.408,0.528,0.24,0.389,0.373,0.322
2014-2015,Lance Stephenson\stephla01,SG,24,CHO,61,25,25.8,3.4,9,0.3,1.7,3.1,7.3,1.1,1.8,0.627,8.2,0.376,12.5,0.809,0.295,0.124,0.122,0.269,0.191,0.425,0.568,0.324,0.418,0.318,0.171
2014-2015,Greg Stiemsma\stiemgr01,C,29,TOR,17,0,3.9,0.4,0.5,0,0,0.4,0.5,0.1,0.2,0.5,0.8,0.75,3.5,1,0.625,0.25,0.125,0,0,0.75,0.8,0.5,1,0,0
2014-2015,David Stockton\stockda01,PG,23,SAC,3,0,11,0.7,2,0.3,0.7,0.3,1.3,1,2,0.5,2.7,0.333,11,0.667,0.333,0.333,0,0,0.333,0.25,0.5,0,0,0,0.5
2014-2015,Jarnell Stokes\stokeja01,PF,21,MEM,19,2,6.6,1.1,1.9,0,0,1.1,1.9,0.8,1.5,0.536,3,0.568,3.2,1,0.703,0.189,0.081,0.027,0,0.568,0.654,0.286,0.667,0,0
2014-2015,Amar'e Stoudemire\stoudam01,PF,32,TOT,59,15,21.1,4.6,8.3,0,0.1,4.6,8.2,2.3,3.2,0.72,11.5,0.557,5.3,0.992,0.514,0.278,0.073,0.127,0.008,0.562,0.687,0.485,0.389,0.323,0
2014-2015,Rodney Stuckey\stuckro01,PG,28,IND,71,36,26.4,4.7,10.6,0.8,2,3.9,8.6,2.5,3,0.819,12.6,0.44,12.1,0.813,0.257,0.166,0.156,0.233,0.187,0.452,0.572,0.416,0.415,0.369,0.39
2014-2015,Jared Sullinger\sullija01,PF,22,BOS,58,49,27,5.4,12.2,0.9,3.2,4.5,9,1.7,2.2,0.744,13.3,0.439,11.9,0.74,0.268,0.222,0.109,0.14,0.26,0.494,0.626,0.42,0.351,0.475,0.283
2014-2015,Jeff Taylor\tayloje03,SF,25,CHO,29,13,14.8,1.6,3.9,0.4,1.2,1.2,2.7,0.9,1.4,0.634,4.4,0.395,12.7,0.684,0.307,0.123,0.053,0.202,0.316,0.436,0.657,0.071,0.333,0.348,0.306
2014-2015,Jeff Teague\teaguje01,PG,26,ATL,73,72,30.5,5.6,12.2,1,2.8,4.6,9.3,3.8,4.4,0.862,15.9,0.46,10,0.767,0.364,0.234,0.085,0.083,0.233,0.496,0.619,0.365,0.413,0.405,0.343
2014-2015,Mirza Teletovi?\teletmi01,PF,29,BRK,40,4,22.3,3.1,8,1.6,4.8,1.5,3.2,0.8,1.2,0.717,8.5,0.382,17.5,0.395,0.201,0.103,0.022,0.069,0.605,0.476,0.531,0.424,0.286,0.455,0.321
2014-2015,Sebastian Telfair\telfase01,PG,29,OKC,16,1,20.4,2.9,7.8,1.1,3.8,1.8,4.1,1.5,2.1,0.706,8.4,0.368,15.3,0.52,0.2,0.168,0.024,0.128,0.48,0.431,0.4,0.429,0.667,0.438,0.3
2014-2015,Garrett Temple\templga01,SG,28,WAS,52,18,14.1,1.3,3.3,0.6,1.7,0.7,1.6,0.7,0.9,0.729,3.9,0.4,16.8,0.482,0.218,0.065,0.053,0.147,0.518,0.427,0.595,0,0.444,0.36,0.375
2014-2015,Jason Terry\terryja01,SG,37,HOU,77,18,21.3,2.4,5.8,1.6,4.2,0.8,1.6,0.5,0.6,0.813,7,0.422,20.2,0.276,0.07,0.07,0.054,0.083,0.724,0.504,0.548,0.516,0.458,0.486,0.39
2014-2015,Isaiah Thomas\thomais02,PG,25,TOT,67,1,25.8,5,11.9,1.9,5.2,3.1,6.7,4.5,5.2,0.868,16.4,0.42,14.9,0.566,0.253,0.112,0.08,0.12,0.434,0.457,0.584,0.315,0.375,0.375,0.373
2014-2015,Lance Thomas\thomala01,PF,26,TOT,62,37,24,2.9,7.1,0.1,0.4,2.8,6.8,1.2,1.6,0.727,7.1,0.412,11.1,0.95,0.217,0.213,0.183,0.337,0.05,0.417,0.594,0.351,0.432,0.336,0.318
2014-2015,Malcolm Thomas\thomama01,PF,26,PHI,17,0,11.4,1.1,2.4,0,0.4,1.1,1.9,0.5,0.8,0.692,2.6,0.45,7.4,0.825,0.5,0.225,0.025,0.075,0.175,0.545,0.75,0.222,0,0.333,0
2014-2015,Tyrus Thomas\thomaty01,PF,28,MEM,2,0,3.5,0.5,0.5,0,0,0.5,0.5,1,1,1,2,1,12,1,0,0,1,0,0,1,0,0,1,0,0
2014-2015,Hollis Thompson\thompho01,SG,23,PHI,71,23,25,3.2,7.6,1.6,4,1.5,3.6,0.9,1.3,0.708,8.8,0.413,16.7,0.471,0.175,0.133,0.061,0.103,0.529,0.426,0.579,0.319,0.515,0.25,0.401
2014-2015,Jason Thompson\thompja02,PF,28,SAC,81,63,24.6,2.5,5.3,0,0,2.5,5.3,1.1,1.8,0.622,6.1,0.47,8.4,0.998,0.313,0.329,0.098,0.257,0.002,0.471,0.604,0.447,0.381,0.373,0
2014-2015,Klay Thompson\thompkl01,SG,24,GSW,77,77,31.9,7.8,16.9,3.1,7.1,4.7,9.8,2.9,3.3,0.879,21.7,0.463,16.1,0.58,0.172,0.107,0.131,0.171,0.42,0.481,0.682,0.345,0.418,0.414,0.439
2014-2015,Tristan Thompson\thomptr01,PF,23,CLE,82,15,26.8,3.3,6,0,0,3.3,6,1.9,3,0.641,8.5,0.547,2.8,1,0.668,0.244,0.072,0.016,0,0.547,0.647,0.353,0.314,0.375,0
2014-2015,Marcus Thornton\thornma01,SG,27,TOT,48,0,15,2.9,7.2,1.1,3,1.8,4.2,1,1.2,0.821,7.9,0.406,15.4,0.586,0.223,0.13,0.046,0.186,0.414,0.426,0.494,0.467,0.125,0.391,0.378
2014-2015,Anthony Tolliver\tollian01,PF,29,TOT,76,11,18.8,2.1,5.2,1.4,3.8,0.7,1.4,0.7,0.9,0.783,6.3,0.41,19.5,0.262,0.153,0.043,0.013,0.053,0.738,0.534,0.65,0.353,0.6,0.333,0.366
2014-2015,P.J. Tucker\tuckepj01,SF,29,PHO,78,63,30.6,3.3,7.6,1.1,3.2,2.2,4.4,1.3,1.8,0.727,9.1,0.438,13.9,0.577,0.267,0.141,0.049,0.121,0.423,0.506,0.679,0.345,0.276,0.403,0.345
2014-2015,Ronny Turiaf\turiaro01,C,32,MIN,2,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
